Nombre,Referencia,CODIGO,Rubro,COD,Familia,COD,Material,COD,Detalle,COD,Título,COD,Teñido,COD,Nombre Color,COD,Modelo,Medida,Texto,Talla,Otros
H-WME-0465,H-WME-0465-204-TERRA (POTTERS CLAY),Y-W-ME-SW-4/6.5-A-204,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,TERRA (POTTERS CLAY),204,,,,,
H-WME-0465,H-WME-0465-204/298-POTTER + STRING,Y-W-ME-SW-4/6.5-A-204/298,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,POTTER/STRING,204/298,,,,,
H-WME-0465,H-WME-0465-205-NUT BROWN,Y-W-ME-SW-4/6.5-A-205,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,NUT BROWN,205,,,,,
H-WME-0465,H-WME-0465-208-CHESTNUT,Y-W-ME-SW-4/6.5-A-208,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CHESTNUT,208,,,,,
H-WME-0465,H-WME-0465-210-TERRACOTA,Y-W-ME-SW-4/6.5-A-210,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,TERRACOTA,210,,,,,
H-WME-0465,H-WME-0465-215-CEDAR,Y-W-ME-SW-4/6.5-A-215,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CEDAR,215,,,,,
H-WME-0465,H-WME-0465-221-NUTMEG,Y-W-ME-SW-4/6.5-A-221,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,NUTMEG,221,,,,,
H-WME-0465,H-WME-0465-236-BARK,Y-W-ME-SW-4/6.5-A-236,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BARK,236,,,,,
H-WME-0465,H-WME-0465-239-ANTIQUE BRASS,Y-W-ME-SW-4/6.5-A-239,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ANTIQUE BRASS,239,,,,,
H-WME-0465,H-WME-0465-251-HENNA,Y-W-ME-SW-4/6.5-A-251,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,HENNA,251,,,,,
H-WME-0465,H-WME-0465-255-STUCCO,Y-W-ME-SW-4/6.5-A-255,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,STUCCO,255,,,,,
H-WME-0465,H-WME-0465-267-GRAPHITE,Y-W-ME-SW-4/6.5-A-267,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,GRAPHITE,267,,,,,
H-WME-0465,H-WME-0465-271-WINTER CREAM,Y-W-ME-SW-4/6.5-A-271,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,WINTER CREAM,271,,,,,
H-WME-0465,H-WME-0465-277-SNOW,Y-W-ME-SW-4/6.5-A-277,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SNOW,277,,,,,
H-WME-0465,H-WME-0465-280-ALABASTER,Y-W-ME-SW-4/6.5-A-280,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,ALABASTER,280,,,,,
H-WME-0465,H-WME-0465-286-AUTUMN CONFETTI,Y-W-ME-SW-4/6.5-A-286,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,AUTUMN CONFETTI,286,,,,,
H-WME-0465,H-WME-0465-290-CAMEL CONFETTI,Y-W-ME-SW-4/6.5-A-290,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CAMEL CONFETTI,290,,,,,
H-WME-0465,H-WME-0465-295-SEED CON,Y-W-ME-SW-4/6.5-A-295,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SEED CON,295,,,,,
H-WME-0465,H-WME-0465-298-STRING,Y-W-ME-SW-4/6.5-A-298,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,STRING,298,,,,,
H-WME-0465,H-WME-0465-300-CAPERS,Y-W-ME-SW-4/6.5-A-300,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CAPERS,300,,,,,
H-WME-0465,H-WME-0465-300R-CAPERS (REJECTED),Y-W-ME-SW-4/6.5-A-300R,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,CAPERS REJECTED,300R,,,,,
H-WME-0465,H-WME-0465-305-PISTACHIO,Y-W-ME-SW-4/6.5-A-305,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,PISTACHIO,305,,,,,
H-WME-0465,H-WME-0465-315-SAGE,Y-W-ME-SW-4/6.5-A-315,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SAGE,315,,,,,
H-WME-0465,H-WME-0465-320-AMAZON,Y-W-ME-SW-4/6.5-A-320,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,AMAZON,320,,,,,
H-WME-0465,H-WME-0465-321-FATIG,Y-W-ME-SW-4/6.5-A-321,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,FATIG,321,,,,,
H-WME-0465,H-WME-0465-346-WOODBINE,Y-W-ME-SW-4/6.5-A-346,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,WOODBINE,346,,,,,
H-WME-0465,H-WME-0465-347-SAP GREEN,Y-W-ME-SW-4/6.5-A-347,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SAP GREEN,347,,,,,
H-WME-0465,H-WME-0465-348-KELP,Y-W-ME-SW-4/6.5-A-348,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,KELP,348,,,,,
H-WME-0465,H-WME-0465-351-SAP GREEN SPACE DYE,Y-W-ME-SW-4/6.5-A-351,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SAP GREEN SPACE DYE,351,,,,,
H-WME-0465,H-WME-0465-352-KELP SPACE DYE,Y-W-ME-SW-4/6.5-A-352,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,KELP SPACE DYE,352,,,,,
H-WME-0465,H-WME-0465-353-SADDLES SPACE DYE,Y-W-ME-SW-4/6.5-A-353,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SADDLES SPACE DYE,353,,,,,
H-WME-0465,H-WME-0465-370-LICHEN (WINTER MOSS),Y-W-ME-SW-4/6.5-A-370,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,LICHEN (WINTER MOSS),370,,,,,
H-WME-0465,H-WME-0465-374-BASIL,Y-W-ME-SW-4/6.5-A-374,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,BASIL,374,,,,,
H-WME-0465,H-WME-0465-375-LEAF,Y-W-ME-SW-4/6.5-A-375,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,LEAF,375,,,,,
H-WME-0465,H-WME-0465-387-LAUREL,Y-W-ME-SW-4/6.5-A-387,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,LAUREL,387,,,,,
H-WME-0465,H-WME-0465-393-EMERALD,Y-W-ME-SW-4/6.5-A-393,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,EMERALD,393,,,,,
H-WME-0465,H-WME-0465-394-SPRIG,Y-W-ME-SW-4/6.5-A-394,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,SPRIG,394,,,,,
H-WME-0465,H-WME-0465-395-COAL,Y-W-ME-SW-4/6.5-A-395,YARN,Y-,WOOL,W-,MERINO,ME-,SUPER WASH,SW-,4/6.5,4/6.5-,ARTISANAL,A-,COAL,395,,,,,
